Price,Year,Mileage,Location
10950,2010,119653,Portland
4795,2004,254000,Portland
1800,1997,194000,Portland
1900,1998,224321,Portland
3500,2000,279000,Portland
5500,2011,140000,Portland
12500,2012,105600,Portland
6400,2003,160000,Portland
15000,2013,74893,Portland
29900,2019,1285,Portland
22500,2018,10140,Portland
2300,1999,293182,Portland
10950,2010,119653,Portland
2800,2002,296000,Portland
12900,2010,56000,Portland
13000,2012,105000,Portland
3000,1999,210000,Portland
4500,2004,172000,Portland
1700,2002,267000,Portland
3600,2004,186104,Portland
2000,2000,224000,Portland
13300,2010,74300,Portland
2500,2001,241000,Portland
19500,2016,37500,Portland
5600,2007,198000,Portland
