,Date,Temperature,Barometer,Wind,Direction,Temp2
1,1/25/2022,21,30.5,8,SW,10
2,1/26/2022,16,30.46,5,N,16
3,1/27/2022,10,30.89,4,NNW,18
5,1/28/2022,16,30.87,6,N,16
4,2/27/2022,25,30.73,5,NNW,39
6,3/21/2022,39,30.35,4,S,57
7,3/22/2022,50,30.42,3,N,63
8,4/27/2022,59,29.87,15,WSW,52
9,4/28/2022,52,29.78,7,E,61
10,5/8/2022,48,29.56,19,S,54
11,5/9/2022,46,29.79,30,SW,63
12,6/19/2022,66,29.83,17,SW,73
13,6/20/2022,64,30.19,11,SW,84
14,7/24/2022,91,29.91,18,SSW,90
15,7/25/2022,88,29.97,4,NNW,91
16,8/28/2022,81,29.82,20,SSW,93
17,8/29/2022,88,30.05,9,N,97
18,9/30/2022,63,30.03,7,W,66
19,10/1/2022,59,30.07,4,SW,70
20,11/26/2022,30,30.19,6,SW,25
21,11/27/2022,36,29.93,21,SSW,21
22,12/23/2022,16,30.36,7,N,28
23,12/24/2022,25,30.59,4,N,45
24,1/5/2023,34,30.04,6,N,34
25,1/7/2023,34,30.33,5,NE,
